GeneID	HHCCW	HHCCX	HHCCY	HHCGA	HHCGB	HHCGG	HHCGH	HHCGN	HHCGO	HHCGP	HHCGT	HHCGU	HHCGW	HHCGX	HHCGY	HHCCZ	HHCGC	HHCGS
jgi.p|Neosp1|517145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
jgi.p|Neosp1|517146	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
jgi.p|Neosp1|517147	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
jgi.p|Neosp1|517148	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
jgi.p|Neosp1|517149	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
jgi.p|Neosp1|517150	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
jgi.p|Neosp1|517151	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
jgi.p|Neosp1|517155	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
jgi.p|Neosp1|517156	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.43	0.0	0.0	0.0	0.0	0.61	0.0	0.0
jgi.p|Neosp1|517158	0.31	0.34	0.85	0.57	0.72	0.76	0.74	1.43	0.89	0.68	0.5	1.01	0.67	0.82	0.73	0.71	0.05	0.2
jgi.p|Neosp1|517161	44.63	58.95	60.7	153.1	142.12	169.02	174.54	172.55	151.19	183.17	111.76	83.53	131.17	184.73	72.33	102.27	37.06	17.26
jgi.p|Neosp1|517164	0.79	0.79	1.74	2.66	2.48	1.71	1.49	1.96	1.83	2.27	1.86	0.84	1.08	3.63	1.81	2.91	0.8	0.29
jgi.p|Neosp1|517170	1.4	1.48	1.7	3.18	3.25	5.74	6.33	6.39	4.51	6.4	10.35	5.08	4.37	4.38	3.04	5.08	11.82	22.64
jgi.p|Neosp1|517171	1.7	0.97	2.03	1.53	1.43	0.44	3.02	5.12	3.39	2.84	2.39	1.37	1.69	1.86	1.7	4.45	4.58	6.36
jgi.p|Neosp1|517172	31.8	26.21	29.85	30.34	33.83	20.67	28.43	27.46	27.74	27.17	37.02	21.4	24.38	28.02	20.91	23.84	10.34	5.39
jgi.p|Neosp1|517176	2.69	2.73	1.99	3.46	4.98	3.05	4.09	4.76	2.87	3.03	4.55	1.68	2.68	4.97	1.26	3.29	2.69	0.39
jgi.p|Neosp1|517177	3.06	1.74	2.05	1.33	2.65	1.15	1.49	2.11	1.04	2.08	2.3	2.83	1.5	2.45	2.38	0.45	0.32	0.54
jgi.p|Neosp1|517180	0.0	0.57	0.0	0.2	0.0	0.0	0.41	0.75	0.42	0.7	0.89	0.4	0.35	0.6	0.0	0.76	1.15	1.26
jgi.p|Neosp1|517182	2.47	2.65	2.5	1.82	3.26	2.2	2.45	3.18	1.61	2.17	4.88	4.51	2.37	4.0	2.69	3.11	8.58	22.64
jgi.p|Neosp1|517188	2735.78	2734.8	2507.0	2241.59	2291.49	1971.37	1885.67	1898.27	1884.67	1961.83	1874.48	2763.93	2207.91	1930.15	2873.31	2709.3	2956.02	3003.41
jgi.p|Neosp1|517219	0.74	0.5	0.4	0.11	0.18	0.7	0.62	0.58	1.43	0.91	1.65	3.28	1.48	0.7	0.68	0.0	0.0	0.0
jgi.p|Neosp1|517220	0.46	1.14	0.28	0.0	0.41	1.79	1.1	1.5	0.28	0.93	2.98	5.91	3.24	0.8	0.77	0.51	0.0	0.0
jgi.p|Neosp1|517221	0.28	0.0	0.0	0.0	0.05	0.0	0.0	0.12	0.27	0.07	0.14	0.13	0.11	0.13	0.09	0.0	0.0	0.0
jgi.p|Neosp1|517224	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.0	0.11	0.12	0.0	0.0	0.0	0.0
jgi.p|Neosp1|517230	0.09	0.0	0.39	0.42	0.54	0.36	0.33	0.3	0.57	0.44	0.0	0.32	0.33	0.75	0.23	1.22	0.43	0.0
jgi.p|Neosp1|517231	0.24	1.18	0.57	1.89	2.77	0.62	4.18	3.62	1.45	1.61	0.61	1.11	1.43	0.83	2.8	7.33	0.63	0.29
jgi.p|Neosp1|517259	5.1	4.75	5.55	11.64	10.42	5.97	8.64	8.75	7.59	9.18	11.31	5.63	8.55	12.72	4.06	5.57	10.7	14.45
jgi.p|Neosp1|517263	0.14	0.0	0.08	0.0	0.06	0.9	0.11	0.3	0.85	0.38	1.98	2.75	0.28	0.57	0.12	0.0	0.0	0.0
jgi.p|Neosp1|517271	0.04	0.07	0.21	0.0	0.62	1.24	1.8	2.08	1.38	1.76	2.47	3.24	7.81	0.86	1.61	0.0	0.06	0.0
jgi.p|Neosp1|517273	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
jgi.p|Neosp1|517274	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
jgi.p|Neosp1|517275	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.51	0.0	0.0	0.0	0.0	0.12	0.0	0.2	0.0	0.0	0.0
jgi.p|Neosp1|517276	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
jgi.p|Neosp1|517277	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
jgi.p|Neosp1|517280	0.0	0.0	0.0	0.34	0.25	1.87	2.29	4.66	3.02	4.16	0.3	2.5	2.27	1.25	0.35	0.0	0.03	0.0
jgi.p|Neosp1|517282	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
jgi.p|Neosp1|517283	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
jgi.p|Neosp1|517284	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
jgi.p|Neosp1|517309	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
