GeneID	HHCCZ	HHCCW	HHCCX	HHCCY	HHCGA	HHCGB	HHCGG	HHCGH	HHCGN	HHCGO	HHCGP	HHCGT	HHCGU	HHCGW	HHCGX	HHCGY	HHCGC	HHCGS
jgi.p|Neosp1|498800	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
jgi.p|Neosp1|498806	113	271	198	284	271	427	95	378	170	284	209	170	168	302	290	190	39	22
jgi.p|Neosp1|498819	13	567	219	437	300	394	422	1977	710	991	940	678	1050	819	699	526	52	30
jgi.p|Neosp1|498823	0	0	0	5	0	1	1	0	3	0	1	1	1	2	2	0	1	1
jgi.p|Neosp1|498824	73	84	65	124	104	134	44	152	75	82	81	61	50	84	145	51	16	13
jgi.p|Neosp1|498825	67	48	26	62	2	5	8	35	29	12	26	85	84	47	20	32	474	762
jgi.p|Neosp1|498830	725	749	638	976	1562	1869	590	1727	661	1271	1003	352	970	1620	1460	471	1117	1277
jgi.p|Neosp1|498832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jgi.p|Neosp1|498837	73	105	96	135	33	61	12	50	22	27	18	61	184	122	45	123	340	1057
jgi.p|Neosp1|498842	0	4	1	3	0	0	5	5	2	5	1	3	3	7	1	0	0	1
jgi.p|Neosp1|498851	64	120	88	115	114	116	34	127	51	93	61	46	78	121	105	83	32	25
jgi.p|Neosp1|498855	71	149	93	153	191	227	70	243	118	161	178	63	100	174	153	74	70	34
jgi.p|Neosp1|498858	374	796	453	597	515	835	295	986	327	618	680	434	752	930	811	301	1025	1228
jgi.p|Neosp1|498866	0	1	1	0	1	1	1	0	0	1	1	0	1	1	0	1	1	0
jgi.p|Neosp1|498869	0	0	0	0	0	0	2	10	0	5	1	15	2	2	10	0	0	0
jgi.p|Neosp1|498870	34	88	56	109	135	178	54	160	65	90	79	16	90	150	170	55	19	5
jgi.p|Neosp1|498871	56	323	169	254	316	437	94	289	87	204	208	69	209	353	326	180	58	21
jgi.p|Neosp1|498877	8	10	11	19	14	13	3	7	8	11	5	1	13	15	13	14	0	1
jgi.p|Neosp1|498878	15	33	23	46	58	75	15	41	20	34	13	7	69	53	45	34	2	0
jgi.p|Neosp1|498879	5	4	2	10	1	6	0	2	3	5	7	1	2	2	1	4	0	1
jgi.p|Neosp1|498880	106	309	411	745	1035	1219	473	1711	672	1289	910	234	838	1177	1040	586	99	254
jgi.p|Neosp1|498885	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	3	0
